id_wad,id_author
0057,0101
0058,0044
0058,0008
0059,0165
0060,0255
0060,0246
0060,0110
0060,0267
0060,0034
0060,0084
0060,0179
0060,0250
0060,0116
0060,0080
0060,0221
0060,0202
0060,0224
0060,0007
0060,0186
0060,0024
0060,0014
0060,0185
0060,0211
0060,0220
0060,0044
0060,0010
0060,0068
0060,0233
0060,0112
0060,0266
0060,0004
0060,0336
0060,0163
0060,0437
0060,0267
0060,0014
0061,0161
0061,0098
0062,0136
0063,0116
0063,0115
0064,0247
0064,0013
0065,0225
0066,0048
0067,0226
0067,0330
0068,0197
0069,0221
0070,0079
0070,0410
0070,0053
0070,0405
0070,0411
0070,0182
0070,0093
0070,0377
0070,0450
0070,0102
0070,0388
0070,0177
0070,0313
0070,0168
0070,0383
0070,0278
0070,0137
0070,0157
0070,0183
0070,0422
0070,0028
0070,0310
0070,0447
0070,0015
0070,0153
0070,0047
0070,0064
0070,0178
0070,0431
0070,0466
0070,0216
0070,0101
0070,0376
0070,0436
0070,0325
0070,0476
0070,0368
0070,0293
0070,0417
0070,0379
0070,0398
0070,0461
0070,0358
0070,0374
0070,0298
0070,0033
0071,0263
0071,0044
0071,0275
0071,0226
0071,0244
0071,0047
0071,0084
0071,0250
0071,0111
0071,0052
0071,0093
0071,0059
0071,0355
0071,0242
0071,0103
0071,0003
0071,0330
0071,0305
0071,0387
0071,0127
0071,0477
0071,0142
0071,0229
0071,0126
0071,0187
0071,0266
0071,0124
0071,0455
0071,0220
0072,0153
0073,0053
0074,0038
0074,0252
0075,0053
0076,0127
0077,0185
0078,0147
0079,0280
0080,0268
0081,0214
0081,0003
0081,0273
0081,0392
0081,0125
0081,0310
0081,0043
0081,0153
0081,0132
0081,0377
0081,0197
0081,0147
0081,0070
0081,0188
0081,0044
0081,0047
0081,0041
0081,0220
0081,0005
0081,0247
0081,0301
0081,0302
0081,0305
0081,0413
0081,0323
0081,0107
0081,0342
0081,0347
0081,0062
0081,0414
0081,0395
0081,0403
0081,0406
0081,0407
0081,0055
0081,0031
0081,0421
0081,0426
0081,0433
0081,0181
0081,0470
0081,0052
0081,0471
0081,0479
0081,0289
0081,0315
0081,0228
0081,0252
0081,0373
0081,0270
0081,0217
0081,0213
0082,0268
0083,0048
0084,0394
0085,0014
0085,0448
0085,0250
0085,0385
0085,0171
0085,0270
0085,0108
0085,0013
0085,0103
0085,0429
0085,0449
0085,0288
0085,0446
0085,0063
0085,0126
0085,0320
0085,0124
0085,0424
0085,0425
0085,0381
0085,0407
0085,0187
0085,0338
0085,0462
0085,0053
0085,0047
0085,0220
0085,0265
0085,0055
0085,0145
0085,0231
0085,0226
0085,0041
0085,0397
0085,0387
0085,0135
0085,0185
0085,0093
0085,0119
0085,0305
0085,0043
0085,0057
0085,0012
0085,0008
0085,0044
0085,0138
0085,0175
0085,0230
0086,0457
0086,0274
0087,0095
0088,0107
0089,0428
0090,0268
0091,0153
0091,0218
0091,0185
0091,0220
0091,0239
0091,0114
0091,0003
0091,0124
0091,0187
0091,0097
0091,0047
0091,0013
0091,0103
0091,0070
0091,0072
0091,0012
0091,0038
0091,0048
0091,0053
0091,0061
0091,0062
0091,0073
0091,0093
0091,0132
0091,0179
0091,0182
0091,0197
0091,0269
0091,0125
0091,0435
0091,0324
0091,0014
0091,0317
0091,0386
0091,0360
0091,0125
0091,0279
0091,0468
0091,0311
0092,0125
0092,0003
0092,0153
0092,0185
0092,0070
0092,0188
0092,0269
0092,0026
0092,0038
0092,0073
0092,0003
0092,0124
0092,0480
0092,0296
0092,0214
0092,0485
0092,0392
0092,0228
0092,0400
0093,0126
0094,0166
0094,0297
0094,0310
0094,0314
0094,0332
0094,0337
0094,0133
0094,0350
0094,0367
0094,0369
0094,0144
0094,0234
0094,0371
0094,0377
0094,0378
0094,0185
0094,0119
0094,0203
0094,0047
0094,0428
0094,0181
0094,0071
0094,0079
0094,0182
0094,0003
0094,0486
0095,0176
0095,0306
0096,0407
0097,0244
0098,0236
0099,0327
0100,0236
0101,0095
0102,0185
0102,0003
0102,0038
0102,0073
0102,0309
0102,0125
0102,0150
0102,0167
0102,0184
0102,0444
0102,0244
0102,0269
0103,0153
0103,0218
0103,0003
0103,0038
0103,0217
0103,0185
0103,0220
0103,0014
0103,0124
0103,0187
0103,0097
0103,0454
0103,0070
0103,0125
0103,0072
0103,0035
0103,0103
0103,0167
0103,0381
0103,0236
0103,0281
0103,0005
0103,0038
0103,0053
0103,0073
0103,0091
0103,0093
0103,0124
0103,0179
0103,0182
0103,0226
0103,0233
0103,0244
0103,0268
0103,0239
0104,0131
0105,0253
0106,0334
0107,0334
0108,0226
0108,0330
0109,0179
0110,0030
0111,0196
0112,0236
0112,0107
0113,0169
0114,0177
0115,0142
0115,0059
0115,0407
0116,0020
0117,0053
0118,0185
0118,0356
0118,0188
0118,0125
0118,0215
0118,0418
0118,0070
0118,0095
0118,0226
0118,0093
0118,0120
0118,0236
0118,0117
0118,0235
0118,0003
0118,0462
0118,0285
0119,0483
0120,0003
0121,0196
0122,0213
0123,0053
0124,0481
0125,0243
0125,0096
0125,0415
0125,0061
0125,0361
0125,0185
0125,0247
0125,0427
0125,0073
0125,0236
0125,0134
0125,0282
0125,0318
0125,0269
0125,0167
0125,0094
0125,0194
0125,0438
0125,0174
0125,0026
0125,0123
0125,0120
0125,0389
0125,0335
0125,0443
0125,0208
0125,0459
0125,0409
0125,0467
0125,0399
0125,0365
